borough,sample_latitude,sample_longitude,error,image_id
Croydon,51.34075759904179,-0.053635314957487856,No image found nearby,
Croydon,51.34938611391171,-0.010833806825504583,No image found nearby,
Croydon,51.34437825682737,-0.031064004436885062,No image found nearby,
Croydon,51.36004803995277,-0.049295562695697306,No image found nearby,
Croydon,51.360376789038625,-0.035948356249635105,No image found nearby,
Croydon,51.359144971658566,-0.03328625054170792,No image found nearby,
Croydon,51.31566723218874,-0.09200844855544396,No image found nearby,
Bromley,51.3419340710681,0.016914214769858743,No image found nearby,
Bromley,51.298441316964194,0.01652929128836858,No image found nearby,
Hounslow,51.43120397772834,-0.42935381453462373,Duplicate image_id,362108515237387
Havering,51.52502399108079,0.2311260257321778,No image found nearby,
Havering,51.565849438907826,0.21798879591307363,No image found nearby,
Havering,51.58787577288797,0.2525539331818655,No image found nearby,
Havering,51.57458459469407,0.24512166582037156,"HTTPSConnectionPool(host='graph.mapillary.com', port=443): Read timed out. (read timeout=30)",
Havering,51.58551614136572,0.2039908147155973,No image found nearby,
Havering,51.56898688132515,0.21532920957082258,No image found nearby,
Hillingdon,51.59015211496392,-0.41633485782418855,No image found nearby,
Hillingdon,51.57416798082328,-0.4684336907163599,No image found nearby,
Hillingdon,51.56522464140106,-0.41752477887688677,No image found nearby,
Hillingdon,51.53099779748847,-0.415280308063153,No image found nearby,
Hillingdon,51.59752404871124,-0.47406359318680374,No image found nearby,
Hillingdon,51.539567278920316,-0.4380199178848361,No image found nearby,
Hillingdon,51.58374925834086,-0.4518138559837496,No image found nearby,
Hillingdon,51.60529095402046,-0.4742903844082006,No image found nearby,
Hillingdon,51.59567364322973,-0.48185642104449267,No image found nearby,
Hillingdon,51.610397052294225,-0.46461790055515806,No image found nearby,
Harrow,51.5944576305444,-0.32444763124679926,No image found nearby,
Harrow,51.59028033428066,-0.33138019171971034,"HTTPSConnectionPool(host='graph.mapillary.com', port=443): Read timed out. (read timeout=30)",
Harrow,51.56351884209459,-0.37770404827830023,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",
Harrow,51.619730380580705,-0.33070354785972456,No image found nearby,
Harrow,51.616441089886514,-0.33777736791637286,Duplicate image_id,797026566599731
Harrow,51.59895154384423,-0.2703587446213611,No image found nearby,
Harrow,51.60146387764297,-0.27067530712002874,No image found nearby,
Harrow,51.60327497469626,-0.2845825828411352,Duplicate image_id,1762696650922804
Brent,51.579061242735605,-0.30222847753360427,No image found nearby,
Barnet,51.61435476603325,-0.23428078528477775,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",
Barnet,51.6700406406616,-0.20203223980959212,"HTTPSConnectionPool(host='scontent-lhr8-2.xx.fbcdn.net', port=443): Read timed out. (read timeout=60)",
Lambeth,51.44234816571569,-0.11802552213992915,"('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))",
Lewisham,51.449622836235406,-0.014536289878704964,Duplicate image_id,818070882150505
Enfield,51.68016682350427,-0.07538656545479175,No image found nearby,
Enfield,51.67392057373594,-0.08780888947408806,No image found nearby,
Enfield,51.646652602176765,-0.12899927669214828,No image found nearby,
Enfield,51.66723681611408,-0.12512228615957194,No image found nearby,
Enfield,51.650716123326866,-0.10813862950556741,No image found nearby,
Enfield,51.65719597438941,-0.12601949619056477,No image found nearby,
Enfield,51.66225635698096,-0.05783176308177582,No image found nearby,
Enfield,51.65588976044061,-0.1269051132612698,No image found nearby,
Enfield,51.656950654463955,-0.11653699668236613,No image found nearby,
Waltham Forest,51.614659447161294,0.009275084812159232,No image found nearby,
Waltham Forest,51.62129192001442,0.010663007910422989,No image found nearby,
Waltham Forest,51.63529016066428,0.011205082762430527,No image found nearby,
Waltham Forest,51.62441437492822,0.010872952193217988,No image found nearby,
Waltham Forest,51.57287109261494,-0.0027634561955281675,No image found nearby,
Redbridge,51.61527952012444,0.13974487390271645,No image found nearby,
Redbridge,51.59610657830165,0.06911811850470133,No image found nearby,
Sutton,51.3775371282533,-0.22292846428688978,No image found nearby,
Sutton,51.377324842068404,-0.23732012855867263,No image found nearby,
Sutton,51.37765929794475,-0.19955439947748266,No image found nearby,
Sutton,51.37911949807994,-0.17869699558557967,Duplicate image_id,104675302206215
Sutton,51.32718606494464,-0.15199189492145146,Duplicate image_id,313154073818344
Merton,51.417887969945674,-0.20427125347960942,Duplicate image_id,291625452416134
Merton,51.43321472381835,-0.22194868446002122,Duplicate image_id,1650950142989040
Wandsworth,51.46309698098148,-0.21021376890574456,"{""error"":{""message"":""An unexpected error has occurred. Please retry your request later."",""type"":""OAuthException"",""is_transient"":true,""code"":2,""fbtrace_id"":""Aql7X7ZtwGhyKTS4M6Dtk8o""}}",
